XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
96.786435,0.001220,0.006223
96.906966,-0.007332,-0.001986
97.027497,-0.004278,0.000042
97.148028,-0.005538,-0.000618
97.268559,0.001055,-0.002161
97.389090,0.004843,0.000176
97.509621,-0.000125,-0.004485
97.630152,-0.000799,-0.003932
97.750683,0.000448,-0.005962
97.871215,0.000105,-0.000386
97.991746,-0.000217,0.003130
98.112277,-0.000946,0.004373
98.232808,-0.000346,0.008918
98.353339,0.002139,0.007263
98.473870,-0.002992,0.012800
98.594401,-0.001358,0.004816
98.714932,-0.002571,-0.002502
98.835463,-0.002094,0.001288
98.955994,0.001456,0.000767
99.076525,-0.000735,-0.003181
99.197056,0.002714,-0.008627
99.317587,-0.005039,-0.003668
99.438118,-0.003607,-0.008147
99.558649,0.001617,-0.006550
99.679180,0.002574,0.000317
99.799711,0.004645,-0.004025
99.920242,-0.002022,-0.000260
100.040773,0.000489,-0.002877
100.161305,0.001447,0.001705
100.281836,0.001906,0.007741
100.402367,0.000463,-0.001890
100.522898,0.000599,0.003075
100.643429,0.003754,0.011394
100.763960,0.000136,0.000205
100.884491,-0.000812,-0.005701
101.005022,-0.000456,-0.000695
101.125553,0.003124,-0.000748
101.246084,0.000611,-0.001226
101.366615,0.001955,-0.005397
101.487146,0.003528,-0.002580
101.607677,0.001300,0.002826
101.728208,-0.000313,0.000422
101.848739,-0.001850,0.003312
101.969270,0.005577,0.005086
102.089801,0.001576,0.003678
102.210332,0.003794,-0.000187
102.330863,0.004074,0.001321
102.451394,-0.002242,0.002537
102.571926,0.003301,0.004063
102.692457,0.004412,0.008435
102.812988,0.003319,-0.001600
102.933519,-0.001770,-0.003153
103.054050,0.004889,0.000249
103.174581,0.005392,-0.000394
103.295112,0.000291,0.001099
103.415643,0.007548,-0.004499
103.536174,0.006505,-0.002527
